Kind;Name;Description
appengine.v1.version;create;Deploys code and resource files to a new version.
appengine.v1.version;delete;Deletes an existing Version resource.
appengine.v1.version;get;Gets the specified Version resource.
appengine.v1.version;list;Lists the versions of a service.
appengine.v1.version;patch;Updates the specified Version resource.
appengine.v1beta4.version;create;Deploys code and resource files to a new version.
appengine.v1beta4.version;delete;Deletes an existing version.
appengine.v1beta4.version;get;Gets the specified Version resource.
appengine.v1beta4.version;list;Lists the versions of a module.
appengine.v1beta4.version;patch;Updates the specified Version resource.
appengine.v1beta5.version;create;Deploys new code and resource files to a new version.
appengine.v1beta5.version;delete;Deletes an existing version.
appengine.v1beta5.version;get;Gets the specified Version resource.
appengine.v1beta5.version;list;Lists the versions of a service.
appengine.v1beta5.version;patch;Updates the specified Version resource.
bigquery.v2.dataset;delete;Deletes the dataset specified by the datasetId value. Before you can delete a dataset, you must delete all its tables, either manually or by specifying deleteContents. Immediately after deletion, you can create another dataset with the same name.
bigquery.v2.dataset;get;Returns the dataset specified by datasetID.
bigquery.v2.dataset;insert;Creates a new empty dataset.
bigquery.v2.dataset;list;Lists all datasets in the specified project to which you have been granted the READER dataset role.
bigquery.v2.dataset;patch;Updates information in an existing dataset. The update method replaces the entire dataset resource, whereas the patch method only replaces fields that are provided in the submitted dataset resource. This method supports patch semantics.
bigquery.v2.dataset;update;Updates information in an existing dataset. The update method replaces the entire dataset resource, whereas the patch method only replaces fields that are provided in the submitted dataset resource.
bigquery.v2.table;delete;Deletes the table specified by tableId from the dataset. If the table contains data, all the data will be deleted.
bigquery.v2.table;get;Gets the specified table resource by table ID. This method does not return the data in the table, it only returns the table resource, which describes the structure of this table.
bigquery.v2.table;insert;Creates a new, empty table in the dataset.
bigquery.v2.table;list;Lists all tables in the specified dataset. Requires the READER dataset role.
bigquery.v2.table;patch;Updates information in an existing table. The update method replaces the entire table resource, whereas the patch method only replaces fields that are provided in the submitted table resource. This method supports patch semantics.
bigquery.v2.table;update;Updates information in an existing table. The update method replaces the entire table resource, whereas the patch method only replaces fields that are provided in the submitted table resource.
cloudfunctions.v1beta2.function;call;Invokes synchronously deployed function.
cloudfunctions.v1beta2.function;create;Creates a new function.
cloudfunctions.v1beta2.function;delete;Deletes a function with the given name from the specified project.
cloudfunctions.v1beta2.function;get;Returns a function with the given name from the requested project.
cloudfunctions.v1beta2.function;list;Returns a list of functions that belong to the requested project.
cloudfunctions.v1beta2.function;update;Updates existing function.
clouduseraccounts.beta.group;addMember;Adds users to the specified group.
clouduseraccounts.beta.group;delete;Deletes the specified Group resource.
clouduseraccounts.beta.group;get;Returns the specified Group resource.
clouduseraccounts.beta.group;insert;Creates a Group resource in the specified project using the data included in the request.
clouduseraccounts.beta.group;list;Retrieves the list of groups contained within the specified project.
clouduseraccounts.beta.group;removeMember;Removes users from the specified group.
clouduseraccounts.beta.user;addPublicKey;Adds a public key to the specified User resource with the data included in the request.
clouduseraccounts.beta.user;delete;Deletes the specified User resource.
clouduseraccounts.beta.user;get;Returns the specified User resource.
clouduseraccounts.beta.user;insert;Creates a User resource in the specified project using the data included in the request.
clouduseraccounts.beta.user;list;Retrieves a list of users contained within the specified project.
clouduseraccounts.beta.user;removePublicKey;Removes the specified public key from the user.
compute.beta.address;aggregatedList;Retrieves an aggregated list of addresses.
compute.beta.address;delete;Deletes the specified address resource.
compute.beta.address;get;Returns the specified address resource.
compute.beta.address;insert;Creates an address resource in the specified project using the data included in the request.
compute.beta.address;list;Retrieves a list of addresses contained within the specified region.
compute.beta.address;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.autoscaler;aggregatedList;Retrieves an aggregated list of autoscalers.
compute.beta.autoscaler;delete;Deletes the specified autoscaler.
compute.beta.autoscaler;get;Returns the specified autoscaler resource. Get a list of available autoscalers by making a list() request.
compute.beta.autoscaler;insert;Creates an autoscaler in the specified project using the data included in the request.
compute.beta.autoscaler;list;Retrieves a list of autoscalers contained within the specified zone.
compute.beta.autoscaler;patch;Updates an autoscaler in the specified project using the data included in the request. This method supports patch semantics.
compute.beta.autoscaler;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.autoscaler;update;Updates an autoscaler in the specified project using the data included in the request.
compute.beta.backendBucket;delete;Deletes the specified BackendBucket resource.
compute.beta.backendBucket;get;Returns the specified BackendBucket resource. Get a list of available backend buckets by making a list() request.
compute.beta.backendBucket;insert;Creates a BackendBucket resource in the specified project using the data included in the request.
compute.beta.backendBucket;list;Retrieves the list of BackendBucket resources available to the specified project.
compute.beta.backendBucket;patch;Updates the specified BackendBucket resource with the data included in the request. This method supports patch semantics.
compute.beta.backendBucket;update;Updates the specified BackendBucket resource with the data included in the request.
compute.beta.backendService;delete;Deletes the specified BackendService resource.
compute.beta.backendService;get;Returns the specified BackendService resource. Get a list of available backend services by making a list() request.
compute.beta.backendService;getHealth;Gets the most recent health check results for this BackendService.
compute.beta.backendService;insert;Creates a BackendService resource in the specified project using the data included in the request. There are several restrictions and guidelines to keep in mind when creating a backend service. Read Restrictions and Guidelines for more information.
compute.beta.backendService;list;Retrieves the list of BackendService resources available to the specified project.
compute.beta.backendService;patch;Patches the specified BackendService resource with the data included in the request. There are several restrictions and guidelines to keep in mind when updating a backend service. Read Restrictions and Guidelines for more information. This method supports patch semantics.
compute.beta.backendService;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.backendService;update;Updates the specified BackendService resource with the data included in the request. There are several restrictions and guidelines to keep in mind when updating a backend service. Read Restrictions and Guidelines for more information.
compute.beta.disk;aggregatedList;Retrieves an aggregated list of persistent disks.
compute.beta.disk;createSnapshot;Creates a snapshot of a specified persistent disk.
compute.beta.disk;delete;Deletes the specified persistent disk. Deleting a disk removes its data permanently and is irreversible. However, deleting a disk does not delete any snapshots previously made from the disk. You must separately delete snapshots.
compute.beta.disk;get;Returns a specified persistent disk. Get a list of available persistent disks by making a list() request.
compute.beta.disk;insert;Creates a persistent disk in the specified project using the data in the request. You can create a disk with a sourceImage, a sourceSnapshot, or create an empty 500 GB data disk by omitting all properties. You can also create a disk that is larger than the default size by specifying the sizeGb property.
compute.beta.disk;list;Retrieves a list of persistent disks contained within the specified zone.
compute.beta.disk;resize;Resizes the specified persistent disk.
compute.beta.disk;setLabels;Sets the labels on a disk. To learn more about labels, read the Labeling or Tagging Resources documentation.
compute.beta.disk;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.firewall;delete;Deletes the specified firewall.
compute.beta.firewall;get;Returns the specified firewall.
compute.beta.firewall;insert;Creates a firewall rule in the specified project using the data included in the request.
compute.beta.firewall;list;Retrieves the list of firewall rules available to the specified project.
compute.beta.firewall;patch;Updates the specified firewall rule with the data included in the request. This method supports patch semantics.
compute.beta.firewall;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.firewall;update;Updates the specified firewall rule with the data included in the request.
compute.beta.forwardingRule;aggregatedList;Retrieves an aggregated list of forwarding rules.
compute.beta.forwardingRule;delete;Deletes the specified ForwardingRule resource.
compute.beta.forwardingRule;get;Returns the specified ForwardingRule resource.
compute.beta.forwardingRule;insert;Creates a ForwardingRule resource in the specified project and region using the data included in the request.
compute.beta.forwardingRule;list;Retrieves a list of ForwardingRule resources available to the specified project and region.
compute.beta.forwardingRule;setTarget;Changes target URL for forwarding rule. The new target should be of the same type as the old target.
compute.beta.forwardingRule;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.globalAddress;delete;Deletes the specified address resource.
compute.beta.globalAddress;get;Returns the specified address resource. Get a list of available addresses by making a list() request.
compute.beta.globalAddress;insert;Creates an address resource in the specified project using the data included in the request.
compute.beta.globalAddress;list;Retrieves a list of global addresses.
compute.beta.globalAddress;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.globalForwardingRule;delete;Deletes the specified GlobalForwardingRule resource.
compute.beta.globalForwardingRule;get;Returns the specified ForwardingRule resource. Get a list of available forwarding rules by making a list() request.
compute.beta.globalForwardingRule;insert;Creates a GlobalForwardingRule resource in the specified project and region using the data included in the request.
compute.beta.globalForwardingRule;list;Retrieves a list of ForwardingRule resources available to the specified project.
compute.beta.globalForwardingRule;setTarget;Changes target URL for the GlobalForwardingRule resource. The new target should be of the same type as the old target.
compute.beta.globalForwardingRule;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.healthCheck;delete;Deletes the specified HealthCheck resource.
compute.beta.healthCheck;get;Returns the specified HealthCheck resource. Get a list of available health checks by making a list() request.
compute.beta.healthCheck;insert;Creates a HealthCheck resource in the specified project using the data included in the request.
compute.beta.healthCheck;list;Retrieves the list of HealthCheck resources available to the specified project.
compute.beta.healthCheck;patch;Updates a HealthCheck resource in the specified project using the data included in the request. This method supports patch semantics.
compute.beta.healthCheck;testIamPermissions;Returns permissions that a caller has on the specified resource.
compute.beta.healthCheck;update;Updates a HealthCheck resource in the specified project using the data included in the request.
compute.beta.httpHealthCheck;delete;Deletes the specified HttpHealthCheck resource.
compute.beta.httpHealthCheck;get;Returns the specified HttpHealthCheck resource. Get a list of available HTTP health checks by making a list() request.
compute.beta.httpHealthCheck;insert;Creates a HttpHealthCheck resource in the specified project using the data included in the request.
compute.beta.httpHealthCheck;list;Retrieves the list of HttpHealthCheck resources available to the specified project.
