Kind;Name;Type;Description
appengine.v1.version;name;string; Full path to the Version resource in the API. Example: apps/myapp/services/default/versions/v1. Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1.version;id;string;Relative name of the version within the service. Example: v1. Version names can contain only lowercase letters, numbers, or hyphens. Reserved names: "default", "latest", and any name with the prefix "ah-". 
appengine.v1.version;inboundServices[];enum(InboundServiceType);Before an application can receive email or XMPP messages, the application must be configured to enable the service. 
appengine.v1.version;instanceClass;string; Instance class that is used to run this version. Valid values are: Defaults to F1 for AutomaticScaling and B1 for ManualScaling or BasicScaling.  
appengine.v1.version;network;object(Network);Extra network settings. Only applicable for VM runtimes. 
appengine.v1.version;resources;object(Resources);Machine resources for this version. Only applicable for VM runtimes. 
appengine.v1.version;runtime;string;Desired runtime. Example: python27. 
appengine.v1.version;threadsafe;boolean;Whether multiple requests can be dispatched to this version at once. 
appengine.v1.version;vm;boolean;Whether to deploy this version in a container on a virtual machine. 
appengine.v1.version;betaSettings;map (key: string, value: string); Metadata settings that are supplied to this version to enable beta runtime features. An object containing a list of "key": value pairs. Example: { "name": "wrench", "mass": "1.3kg", "count": "3" }.  
appengine.v1.version;env;string; App Engine execution environment for this version. Defaults to standard.  
appengine.v1.version;servingStatus;enum(ServingStatus); Current serving status of this version. Only the versions with a SERVING status create instances and can be billed. SERVING_STATUS_UNSPECIFIED is an invalid value. Defaults to SERVING.  
appengine.v1.version;createdBy;string; Email address of the user who created this version. Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1.version;createTime;string (Timestamp format); Time that this version was created. A timestamp in RFC3339 UTC "Zulu" format, accurate to nanoseconds. Example: "2014-10-02T15:01:23.045123456Z". Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1.version;diskUsageBytes;string (int64 format); Total size in bytes of all the files that are included in this version and curerntly hosted on the App Engine disk. Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1.version;handlers[];object(UrlMap); An ordered list of URL-matching patterns that should be applied to incoming requests. The first matching URL handles the request and other request handlers are not attempted. Only returned in GET requests if view=FULL is set.  
appengine.v1.version;errorHandlers[];object(ErrorHandler); Custom static error pages. Limited to 10KB per page. Only returned in GET requests if view=FULL is set.  
appengine.v1.version;libraries[];object(Library); Configuration for third-party Python runtime libraries that are required by the application. Only returned in GET requests if view=FULL is set.  
appengine.v1.version;apiConfig;object(ApiConfigHandler); Serving configuration for Google Cloud Endpoints. Only returned in GET requests if view=FULL is set.  
appengine.v1.version;envVariables;map (key: string, value: string); Environment variables available to the application. Only returned in GET requests if view=FULL is set. An object containing a list of "key": value pairs. Example: { "name": "wrench", "mass": "1.3kg", "count": "3" }.  
appengine.v1.version;defaultExpiration;string (Duration format); Duration that static files should be cached by web proxies and browsers. Only applicable if the corresponding StaticFilesHandler does not specify its own expiration time. Only returned in GET requests if view=FULL is set. A duration in seconds with up to nine fractional digits, terminated by 's'. Example: "3.5s".  
appengine.v1.version;healthCheck;object(HealthCheck); Configures health checking for VM instances. Unhealthy instances are stopped and replaced with new instances. Only applicable for VM runtimes. Only returned in GET requests if view=FULL is set.  
appengine.v1.version;readinessCheck;object(ReadinessCheck); Configures readiness health checking for VM instances. Unhealthy instances are not put into the backend traffic rotation. Only returned in GET requests if view=FULL is set.  
appengine.v1.version;livenessCheck;object(LivenessCheck); Configures liveness health checking for VM instances. Unhealthy instances are stopped and replaced with new instances Only returned in GET requests if view=FULL is set.  
appengine.v1.version;nobuildFilesRegex;string; Files that match this pattern will not be built into this version. Only applicable for Go runtimes. Only returned in GET requests if view=FULL is set.  
appengine.v1.version;deployment;object(Deployment); Code and application artifacts that make up this version. Only returned in GET requests if view=FULL is set.  
appengine.v1.version;versionUrl;string; Serving URL for this version. Example: "https://myversion-dot-myservice-dot-myapp.appspot.com" Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1.version;endpointsApiService;object(EndpointsApiService); Cloud Endpoints configuration. If endpointsApiService is set, the Cloud Endpoints Extensible Service Proxy will be provided to serve the API implemented by the app.  
appengine.v1.version;automaticScaling;object(AutomaticScaling);Automatic scaling is based on request rate, response latencies, and other application metrics. 
appengine.v1.version;basicScaling;object(BasicScaling);A service with basic scaling will create an instance when the application receives a request. The instance will be turned down when the app becomes idle. Basic scaling is ideal for work that is intermittent or driven by user activity. 
appengine.v1.version;manualScaling;object(ManualScaling);A service with manual scaling runs continuously, allowing you to perform complex initialization and rely on the state of its memory over time. 
appengine.v1beta4.version;name;string; Full path to the Version resource in the API. Example: apps/myapp/modules/default/versions/v1. Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1beta4.version;id;string;Relative name of the version within the module. Example: v1. Version names can contain only lowercase letters, numbers, or hyphens. Reserved names: "default", "latest", and any name with the prefix "ah-". 
appengine.v1beta4.version;inboundServices[];enum(InboundServiceType);Before an application can receive email or XMPP messages, the application must be configured to enable the service. 
appengine.v1beta4.version;instanceClass;string; Instance class that is used to run this version. Valid values are: Defaults to F1 for AutomaticScaling and B1 for ManualScaling or BasicScaling.  
appengine.v1beta4.version;network;object(Network);Extra network settings. Only applicable for VM runtimes. 
appengine.v1beta4.version;resources;object(Resources);Machine resources for this version. Only applicable for VM runtimes. 
appengine.v1beta4.version;runtime;string;Desired runtime. Example: python27. 
appengine.v1beta4.version;threadsafe;boolean;Whether multiple requests can be dispatched to this version at once. 
appengine.v1beta4.version;vm;boolean;Whether to deploy this version in a container on a virtual machine. 
appengine.v1beta4.version;betaSettings;map (key: string, value: string); Metadata settings that are supplied to this version to enable beta runtime features. An object containing a list of "key": value pairs. Example: { "name": "wrench", "mass": "1.3kg", "count": "3" }.  
appengine.v1beta4.version;env;string; App Engine execution environment to use for this version. Defaults to 1.  
appengine.v1beta4.version;servingStatus;enum(ServingStatus); Current serving status of this version. Only the versions with a SERVING status create instances and can be billed. SERVING_STATUS_UNSPECIFIED is an invalid value. Defaults to SERVING.  
appengine.v1beta4.version;deployer;string; Email address of the user who created this version. Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1beta4.version;creationTime;string (Timestamp format); Time that this version was created. A timestamp in RFC3339 UTC "Zulu" format, accurate to nanoseconds. Example: "2014-10-02T15:01:23.045123456Z". Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1beta4.version;handlers[];object(UrlMap); An ordered list of URL-matching patterns that should be applied to incoming requests. The first matching URL handles the request and other request handlers are not attempted. Only returned in GET requests if view=FULL is set.  
appengine.v1beta4.version;errorHandlers[];object(ErrorHandler); Custom static error pages. Limited to 10KB per page. Only returned in GET requests if view=FULL is set.  
appengine.v1beta4.version;libraries[];object(Library); Configuration for third-party Python runtime libraries required by the application. Only returned in GET requests if view=FULL is set.  
appengine.v1beta4.version;apiConfig;object(ApiConfigHandler); Serving configuration for Google Cloud Endpoints. Only returned in GET requests if view=FULL is set.  
appengine.v1beta4.version;envVariables;map (key: string, value: string); Environment variables made available to the application. Only returned in GET requests if view=FULL is set. An object containing a list of "key": value pairs. Example: { "name": "wrench", "mass": "1.3kg", "count": "3" }.  
appengine.v1beta4.version;defaultExpiration;string (Duration format); Duration that static files should be cached by web proxies and browsers. Only applicable if the corresponding StaticFilesHandler does not specify its own expiration time. Only returned in GET requests if view=FULL is set. A duration in seconds with up to nine fractional digits, terminated by 's'. Example: "3.5s".  
appengine.v1beta4.version;healthCheck;object(HealthCheck); Configures health checking for VM instances. Unhealthy instances are stopped and replaced with new instances. Only applicable for VM runtimes. Only returned in GET requests if view=FULL is set.  
appengine.v1beta4.version;nobuildFilesRegex;string; Files that match this pattern will not be built into this version. Only applicable for Go runtimes. Only returned in GET requests if view=FULL is set.  
appengine.v1beta4.version;deployment;object(Deployment); Code and application artifacts that make up this version. Only returned in GET requests if view=FULL is set.  
appengine.v1beta4.version;automaticScaling;object(AutomaticScaling);Automatic scaling is based on request rate, response latencies, and other application metrics. 
appengine.v1beta4.version;basicScaling;object(BasicScaling);A module with basic scaling will create an instance when the application receives a request. The instance will be turned down when the app becomes idle. Basic scaling is ideal for work that is intermittent or driven by user activity. 
appengine.v1beta4.version;manualScaling;object(ManualScaling);A module with manual scaling runs continuously, allowing you to perform complex initialization and rely on the state of its memory over time. 
appengine.v1beta5.version;name;string; Full path to the Version resource in the API. Example: apps/myapp/services/default/versions/v1. Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1beta5.version;id;string;Relative name of the version within the module. Example: v1. Version names can contain only lowercase letters, numbers, or hyphens. Reserved names: "default", "latest", and any name with the prefix "ah-". 
appengine.v1beta5.version;inboundServices[];enum(InboundServiceType);Before an application can receive email or XMPP messages, the application must be configured to enable the service. 
appengine.v1beta5.version;instanceClass;string; Instance class that is used to run this version. Valid values are: Defaults to F1 for AutomaticScaling and B1 for ManualScaling or BasicScaling.  
appengine.v1beta5.version;network;object(Network);Extra network settings. Only applicable for VM runtimes. 
appengine.v1beta5.version;resources;object(Resources);Machine resources for this version. Only applicable for VM runtimes. 
appengine.v1beta5.version;runtime;string;Desired runtime. Example: python27. 
appengine.v1beta5.version;threadsafe;boolean;Whether multiple requests can be dispatched to this version at once. 
appengine.v1beta5.version;vm;boolean;Whether to deploy this version in a container on a virtual machine. 
appengine.v1beta5.version;betaSettings;map (key: string, value: string); Metadata settings that are supplied to this version to enable beta runtime features. An object containing a list of "key": value pairs. Example: { "name": "wrench", "mass": "1.3kg", "count": "3" }.  
appengine.v1beta5.version;env;string; App Engine execution environment to use for this version. Defaults to 1.  
appengine.v1beta5.version;servingStatus;enum(ServingStatus); Current serving status of this version. Only the versions with a SERVING status create instances and can be billed. SERVING_STATUS_UNSPECIFIED is an invalid value. Defaults to SERVING.  
appengine.v1beta5.version;deployer;string; Email address of the user who created this version. Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1beta5.version;creationTime;string (Timestamp format); Time that this version was created. A timestamp in RFC3339 UTC "Zulu" format, accurate to nanoseconds. Example: "2014-10-02T15:01:23.045123456Z". Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1beta5.version;diskUsageBytes;string (int64 format); Total size of version files hosted on App Engine disk in bytes. Note: This field is used in responses only. Any value specified here in a request is ignored.  
appengine.v1beta5.version;ignoreBinaryVerification;boolean;Whether the deployment should continue if binary verification fails. Only applicable if binary verification is enabled. 
appengine.v1beta5.version;overrideBinaryAuthorization;boolean;Whether the deployment should continue if binary verification fails. Only applicable if binary verification is enabled. 
appengine.v1beta5.version;handlers[];object(UrlMap); An ordered list of URL-matching patterns that should be applied to incoming requests. The first matching URL handles the request and other request handlers are not attempted. Only returned in GET requests if view=FULL is set.  
appengine.v1beta5.version;errorHandlers[];object(ErrorHandler); Custom static error pages. Limited to 10KB per page. Only returned in GET requests if view=FULL is set.  
appengine.v1beta5.version;libraries[];object(Library); Configuration for third-party Python runtime libraries required by the application. Only returned in GET requests if view=FULL is set.  
appengine.v1beta5.version;apiConfig;object(ApiConfigHandler); Serving configuration for Google Cloud Endpoints. Only returned in GET requests if view=FULL is set.  
appengine.v1beta5.version;envVariables;map (key: string, value: string); Environment variables made available to the application. Only returned in GET requests if view=FULL is set. An object containing a list of "key": value pairs. Example: { "name": "wrench", "mass": "1.3kg", "count": "3" }.  
appengine.v1beta5.version;defaultExpiration;string (Duration format); Duration that static files should be cached by web proxies and browsers. Only applicable if the corresponding StaticFilesHandler does not specify its own expiration time. Only returned in GET requests if view=FULL is set. A duration in seconds with up to nine fractional digits, terminated by 's'. Example: "3.5s".  
appengine.v1beta5.version;healthCheck;object(HealthCheck); Configures health checking for VM instances. Unhealthy instances are be stopped and replaced with new instances. Only applicable for VM runtimes. Only returned in GET requests if view=FULL is set.  
appengine.v1beta5.version;nobuildFilesRegex;string; Files that match this pattern will not be built into this version. Only applicable for Go runtimes. Only returned in GET requests if view=FULL is set.  
appengine.v1beta5.version;deployment;object(Deployment); Code and application artifacts that make up this version. Only returned in GET requests if view=FULL is set.  
appengine.v1beta5.version;endpointsApiService;object(EndpointsApiService); Cloud Endpoints configuration. If endpointsApiService is set, the Cloud Endpoints Extensible Service Proxy will be provided to serve the API implemented by the app.  
appengine.v1beta5.version;automaticScaling;object(AutomaticScaling);Automatic scaling is based on request rate, response latencies, and other application metrics. 
appengine.v1beta5.version;basicScaling;object(BasicScaling);A service with basic scaling will create an instance when the application receives a request. The instance will be turned down when the app becomes idle. Basic scaling is ideal for work that is intermittent or driven by user activity. 
appengine.v1beta5.version;manualScaling;object(ManualScaling);A service with manual scaling runs continuously, allowing you to perform complex initialization and rely on the state of its memory over time. 
bigquery.v2.dataset;access[];list;[Optional] An array of objects that define dataset access for one or more entities. You can set this property when inserting or updating a dataset in order to control who is allowed to access the data. If unspecified at dataset creation time, BigQuery adds default dataset access for the following entities: access.specialGroup: projectReaders; access.role: READER;  access.specialGroup: projectWriters; access.role: WRITER;  access.specialGroup: projectOwners; access.role: OWNER;  access.userByEmail: [dataset creator email]; access.role: OWNER; For more information about access control in BigQuery, see access control.
bigquery.v2.dataset;access[].domain;string;[Pick one] A domain to grant access to. Any users signed in with the domain specified will be granted the specified access. Example: "example.com".
bigquery.v2.dataset;access[].groupByEmail;string;[Pick one] An email address of a Google Group to grant access to.
bigquery.v2.dataset;access[].role;string;[Required] Describes the rights granted to the user specified by the other member of the access object. The following string values are supported: READER, WRITER, OWNER. For more information about access control in BigQuery, see access control.
bigquery.v2.dataset;access[].specialGroup;string;[Pick one] A special group to grant access to. Possible values include: projectOwners: Owners of the enclosing project.  projectReaders: Readers of the enclosing project.  projectWriters: Writers of the enclosing project.  allAuthenticatedUsers: All authenticated BigQuery users. For more information about access control in BigQuery, see access control.
bigquery.v2.dataset;access[].userByEmail;string;[Pick one] An email address of a user to grant access to. For example: fred@example.com.
bigquery.v2.dataset;access[].view;nested object;[Pick one] A view from a different dataset to grant access to. Queries executed against that view will have read access to tables in this dataset. The role field is not required when this field is set. If that view is updated by any user, access to the view needs to be granted again via an update operation.
bigquery.v2.dataset;access[].view.datasetId;string;[Required] The ID of the dataset containing this table.
bigquery.v2.dataset;access[].view.projectId;string;[Required] The ID of the project containing this table.
bigquery.v2.dataset;access[].view.tableId;string;[Required] The ID of the table. The ID must contain only letters (a-z, A-Z), numbers (0-9), or underscores (_). The maximum length is 1,024 characters.
bigquery.v2.dataset;creationTime;long;[Output-only] The time when this dataset was created, in milliseconds since the epoch.
bigquery.v2.dataset;datasetReference;nested object;[Required] A reference that identifies the dataset.
bigquery.v2.dataset;datasetReference.datasetId;string;[Required] A unique ID for this dataset, without the project name. The ID must contain only letters (a-z, A-Z), numbers (0-9), or underscores (_). The maximum length is 1,024 characters.
bigquery.v2.dataset;datasetReference.projectId;string;[Optional] The ID of the project containing this dataset.
bigquery.v2.dataset;defaultTableExpirationMs;long;[Optional] The default lifetime of all tables in the dataset, in milliseconds. The minimum value is 3600000 milliseconds (one hour). Once this property is set, all newly-created tables in the dataset will have an expirationTime property set to the creation time plus the value in this property, and changing the value will only affect new tables, not existing ones. When the expirationTime for a given table is reached, that table will be deleted automatically. If a table's expirationTime is modified or removed before the table expires, or if you provide an explicit expirationTime when creating a table, that value takes precedence over the default expiration time indicated by this property.
bigquery.v2.dataset;description;string;[Optional] A user-friendly description of the dataset.
bigquery.v2.dataset;etag;etag;[Output-only] A hash of the resource.
bigquery.v2.dataset;friendlyName;string;[Optional] A descriptive name for the dataset.
bigquery.v2.dataset;id;string;[Output-only] The fully-qualified unique name of the dataset in the format projectId:datasetId. The dataset name without the project name is given in the datasetId field. When creating a new dataset, leave this field blank, and instead specify the datasetId field.
bigquery.v2.dataset;kind;string;[Output-only] The resource type.
bigquery.v2.dataset;labels;object;The labels associated with this dataset. You can use these to organize and group your datasets. You can set this property when inserting or updating a dataset. See Labeling Datasets for more information.
bigquery.v2.dataset;labels.(key);string;None
bigquery.v2.dataset;lastModifiedTime;long;[Output-only] The date when this dataset or any of its tables was last modified, in milliseconds since the epoch.
bigquery.v2.dataset;location;string;The geographic location where the dataset should reside. Possible values include EU and US. The default value is US.
bigquery.v2.dataset;selfLink;string;[Output-only] A URL that can be used to access the resource again. You can use this URL in Get or Update requests to the resource.
bigquery.v2.table;creationTime;long;[Output-only] The time when this table was created, in milliseconds since the epoch.
bigquery.v2.table;description;string;[Optional] A user-friendly description of this table.
bigquery.v2.table;etag;etag;[Output-only] A hash of this resource.
bigquery.v2.table;expirationTime;long;[Optional] The time when this table expires, in milliseconds since the epoch. If not present, the table will persist indefinitely. Expired tables will be deleted and their storage reclaimed.
bigquery.v2.table;externalDataConfiguration;nested object;[Optional] Describes the data format, location, and other properties of a table stored outside of BigQuery. By defining these properties, the data source can then be queried as if it were a standard BigQuery table.
bigquery.v2.table;externalDataConfiguration.autodetect;boolean;Try to detect schema and format options automatically. Any option specified explicitly will be honored.
bigquery.v2.table;externalDataConfiguration.bigtableOptions;nested object;[Optional] Additional options if sourceFormat is set to BIGTABLE.
